Time,IMF_nT,FlowSpeed_kms
2025-01-01 00:00:00,14.24,
2025-01-01 00:01:00,14.48,
2025-01-01 00:02:00,14.48,
2025-01-01 00:03:00,14.42,
2025-01-01 00:04:00,14.51,421.5
2025-01-01 00:05:00,13.88,423.0
2025-01-01 00:06:00,13.78,429.8
2025-01-01 00:07:00,13.89,427.4
2025-01-01 00:08:00,13.86,426.5
2025-01-01 00:09:00,14.09,423.0
2025-01-01 00:10:00,13.89,423.5
2025-01-01 00:11:00,13.53,426.6
2025-01-01 00:12:00,13.57,427.3
2025-01-01 00:13:00,13.82,
2025-01-01 00:14:00,13.64,423.6
2025-01-01 00:15:00,13.57,423.6
2025-01-01 00:16:00,13.54,
2025-01-01 00:17:00,13.59,
2025-01-01 00:18:00,13.64,
2025-01-01 00:19:00,13.61,
2025-01-01 00:20:00,13.69,429.9
2025-01-01 00:21:00,13.63,429.9
2025-01-01 00:22:00,13.87,429.9
2025-01-01 00:23:00,13.95,
2025-01-01 00:24:00,13.97,
2025-01-01 00:25:00,14.0,423.7
2025-01-01 00:26:00,13.99,423.7
2025-01-01 00:27:00,13.97,423.7
2025-01-01 00:28:00,13.98,
2025-01-01 00:29:00,13.96,
2025-01-01 00:30:00,13.97,
2025-01-01 00:31:00,13.93,
2025-01-01 00:32:00,13.93,
2025-01-01 00:33:00,13.91,422.1
2025-01-01 00:34:00,13.86,422.2
2025-01-01 00:35:00,13.93,422.2
2025-01-01 00:36:00,13.75,421.5
2025-01-01 00:37:00,14.07,422.2
2025-01-01 00:38:00,13.83,432.8
2025-01-01 00:39:00,13.87,432.4
2025-01-01 00:40:00,13.66,426.7
2025-01-01 00:41:00,13.33,433.1
2025-01-01 00:42:00,13.44,438.0
2025-01-01 00:43:00,12.93,438.5
2025-01-01 00:44:00,13.03,
2025-01-01 00:45:00,13.01,430.1
2025-01-01 00:46:00,13.01,430.1
2025-01-01 00:47:00,12.98,430.1
2025-01-01 00:48:00,12.76,426.3
2025-01-01 00:49:00,12.9,426.3
2025-01-01 00:50:00,12.76,
2025-01-01 00:51:00,12.74,425.3
2025-01-01 00:52:00,12.84,425.3
2025-01-01 00:53:00,12.94,425.3
2025-01-01 00:54:00,12.67,
2025-01-01 00:55:00,12.65,
2025-01-01 00:56:00,12.83,429.2
2025-01-01 00:57:00,12.68,429.2
2025-01-01 00:58:00,12.75,
2025-01-01 00:59:00,13.11,
2025-01-01 01:00:00,13.13,
2025-01-01 01:01:00,13.38,437.1
2025-01-01 01:02:00,13.18,437.1
2025-01-01 01:03:00,14.52,
2025-01-01 01:04:00,14.22,
2025-01-01 01:05:00,14.5,
2025-01-01 01:06:00,14.83,439.8
2025-01-01 01:07:00,14.77,437.8
2025-01-01 01:08:00,14.97,434.7
2025-01-01 01:09:00,15.17,441.4
2025-01-01 01:10:00,14.98,441.4
2025-01-01 01:11:00,15.43,435.7
2025-01-01 01:12:00,15.47,435.9
2025-01-01 01:13:00,15.7,437.5
2025-01-01 01:14:00,15.69,436.7
2025-01-01 01:15:00,15.79,436.6
2025-01-01 01:16:00,15.8,435.8
2025-01-01 01:17:00,15.81,435.7
2025-01-01 01:18:00,15.79,435.1
2025-01-01 01:19:00,15.6,434.2
2025-01-01 01:20:00,15.76,434.2
2025-01-01 01:21:00,15.85,
2025-01-01 01:22:00,15.51,433.4
2025-01-01 01:23:00,15.22,436.4
2025-01-01 01:24:00,14.71,440.9
2025-01-01 01:25:00,14.65,441.4
2025-01-01 01:26:00,14.68,445.6
2025-01-01 01:27:00,14.84,445.6
2025-01-01 01:28:00,14.84,444.5
2025-01-01 01:29:00,14.64,444.5
2025-01-01 01:30:00,14.69,442.0
2025-01-01 01:31:00,14.7,442.0
2025-01-01 01:32:00,13.45,442.3
2025-01-01 01:33:00,11.47,443.5
2025-01-01 01:34:00,10.55,444.3
2025-01-01 01:35:00,10.38,457.9
2025-01-01 01:36:00,9.65,457.9
2025-01-01 01:37:00,9.51,457.9
2025-01-01 01:38:00,9.5,
2025-01-01 01:39:00,9.71,450.8
2025-01-01 01:40:00,10.54,451.0
2025-01-01 01:41:00,10.43,452.0
2025-01-01 01:42:00,10.08,452.7
2025-01-01 01:43:00,10.11,452.7
2025-01-01 01:44:00,10.27,
2025-01-01 01:45:00,10.46,450.2
2025-01-01 01:46:00,10.54,450.2
2025-01-01 01:47:00,10.55,452.3
2025-01-01 01:48:00,10.45,452.3
2025-01-01 01:49:00,10.8,451.7
2025-01-01 01:50:00,10.6,453.6
2025-01-01 01:51:00,10.4,454.8
2025-01-01 01:52:00,10.31,457.0
2025-01-01 01:53:00,10.36,457.0
2025-01-01 01:54:00,10.12,462.3
2025-01-01 01:55:00,10.07,457.7
2025-01-01 01:56:00,9.87,458.8
2025-01-01 01:57:00,9.87,462.5
2025-01-01 01:58:00,9.88,462.5
2025-01-01 01:59:00,9.92,460.8
2025-01-01 02:00:00,9.87,460.8
2025-01-01 02:01:00,9.88,459.2
2025-01-01 02:02:00,9.75,459.2
2025-01-01 02:03:00,9.76,459.2
2025-01-01 02:04:00,9.56,455.3
2025-01-01 02:05:00,9.93,455.3
2025-01-01 02:06:00,9.72,455.3
2025-01-01 02:07:00,8.71,441.2
2025-01-01 02:08:00,8.27,441.2
2025-01-01 02:09:00,8.66,449.2
2025-01-01 02:10:00,7.51,450.5
2025-01-01 02:11:00,5.35,427.5
2025-01-01 02:12:00,6.34,426.6
2025-01-01 02:13:00,6.57,427.0
2025-01-01 02:14:00,4.63,431.3
2025-01-01 02:15:00,7.38,431.9
2025-01-01 02:16:00,8.3,432.5
2025-01-01 02:17:00,7.99,437.1
2025-01-01 02:18:00,7.26,433.0
2025-01-01 02:19:00,8.23,428.3
2025-01-01 02:20:00,8.23,429.1
2025-01-01 02:21:00,8.51,440.6
2025-01-01 02:22:00,7.57,439.1
2025-01-01 02:23:00,7.14,434.5
2025-01-01 02:24:00,6.18,425.2
2025-01-01 02:25:00,7.14,421.7
2025-01-01 02:26:00,6.03,428.2
2025-01-01 02:27:00,4.55,433.1
2025-01-01 02:28:00,5.15,428.6
2025-01-01 02:29:00,4.8,432.7
2025-01-01 02:30:00,7.32,429.9
2025-01-01 02:31:00,6.61,425.0
2025-01-01 02:32:00,9.41,428.2
2025-01-01 02:33:00,11.1,441.8
2025-01-01 02:34:00,12.51,453.5
2025-01-01 02:35:00,13.31,
2025-01-01 02:36:00,12.19,439.6
2025-01-01 02:37:00,14.25,439.6
2025-01-01 02:38:00,14.25,439.6
2025-01-01 02:39:00,14.43,
2025-01-01 02:40:00,14.4,
2025-01-01 02:41:00,14.4,
2025-01-01 02:42:00,14.36,
2025-01-01 02:43:00,14.12,
2025-01-01 02:44:00,14.19,463.0
2025-01-01 02:45:00,14.56,455.3
2025-01-01 02:46:00,15.38,453.2
2025-01-01 02:47:00,15.54,
2025-01-01 02:48:00,15.61,
2025-01-01 02:49:00,15.58,441.3
2025-01-01 02:50:00,15.7,441.3
2025-01-01 02:51:00,15.61,
2025-01-01 02:52:00,15.61,
2025-01-01 02:53:00,15.68,
2025-01-01 02:54:00,15.67,
2025-01-01 02:55:00,15.9,437.8
